KulliKamusKod,Telafuz,Lisan,OsmYazilis,Anlam,Ornek,CreatedAt,UpdatedAt
1417,derre,(F.),???, dere.,,6/27/2021 20:23,6/27/2021 20:23
1418,derrâk,(A.),????, anlayýþlý.,,6/27/2021 20:23,6/27/2021 20:23
1419,dersaadet,(F.-A.),?? ?????, Ýstanbul.,,6/27/2021 20:23,6/27/2021 20:23
1420,dershân,(A.-F.),???????, öðrenci.,,6/27/2021 20:23,6/27/2021 20:23
1421,dervâze,(F.),??????, 1.ana kapý. 2.kale kapýsý. 3.þehir kapýsý.,,6/27/2021 20:23,6/27/2021 20:23
1422,dervîþ,(F.),?????, 1.yoksul. 2.tarikat þeyhine baðlý mürit.,,6/27/2021 20:23,6/27/2021 20:23
1423,dervîþân,(F.),???????, [dervîþ+ ân] derviþler.,,6/27/2021 20:23,6/27/2021 20:23
1424,deryâ,(F.),????, deniz.,,6/27/2021 20:23,6/27/2021 20:23
1425,deryâdil,(F.),??????, 1.gönlü zengin. 2.büyük himmetli.,,6/27/2021 20:23,6/27/2021 20:23
1426,deryâneverd,(F.),????????, [deryâ + neverdîden > neverd] denizci.,,6/27/2021 20:23,6/27/2021 20:23
1427,derzî,(F.),????, terzi.,,6/27/2021 20:23,6/27/2021 20:23
1428,derâhim,(A.),?????, dirhemler.,,6/27/2021 20:23,6/27/2021 20:23
1429,derâmed,(F.),?? ???," [der + âmeden > âmed] kazanç	 gelir.",,6/27/2021 20:23,6/27/2021 20:23
1430,derâz,(F.),????, uzun.,,6/27/2021 20:23,6/27/2021 20:23
1431,derîçe,(F.),?????, 1.pencere. 2.küçük kapý.,,6/27/2021 20:23,6/27/2021 20:23
1432,derûn,(F.),????," 1.iç	 içerisi. 2.gönül.",,6/27/2021 20:23,6/27/2021 20:23
1433,derûnî,(F.),?????," içten gelen	 içe ait.",,6/27/2021 20:23,6/27/2021 20:23
1434,dessâs,(A.),????," hileci	 düzenbaz.",,6/27/2021 20:23,6/27/2021 20:23
1435,dest,(F.),???, el.,,6/27/2021 20:23,6/27/2021 20:23
1436,destbedest,(F.),??? ????, [dest + be + dest] elden ele.,,6/27/2021 20:23,6/27/2021 20:23
1437,destbûs,(F.),??? ???, [dest + bûsîden > bûs] el öpen.,,6/27/2021 20:23,6/27/2021 20:23
1438,destbûsî,(F.),??? ????, el öpme.,,6/27/2021 20:23,6/27/2021 20:23
1439,deste,(F.),????, 1.grup. 2.demet. 3.kulp.,,6/27/2021 20:23,6/27/2021 20:23
1440,destere,(F.),?????," testere	 býçký.",,6/27/2021 20:23,6/27/2021 20:23
1441,destgâh,(F.),??????, 1.tezgah. 2.atölye. 3.halý dokuma tezgahý.,,6/27/2021 20:23,6/27/2021 20:23
1442,destgîr,(F.),??????," [dest + giriften >gîr] elden tutan	 yardým eden.",,6/27/2021 20:23,6/27/2021 20:23
1443,destkâr,(F.),??????, il iþi.,,6/27/2021 20:23,6/27/2021 20:23
1444,destmâl,(F.),??????, 1.mendil. 2.el bezi.,,6/27/2021 20:23,6/27/2021 20:23
1445,destmüzd,(F.),??? ???," 1.ücret	 el emeði. 2.bahþiþ.",,6/27/2021 20:23,6/27/2021 20:23
1446,destres,(F.),?????," ulaþma	 elde etmek.",,6/27/2021 20:23,6/27/2021 20:23
1447,destân,(F.),?????, 1.hikâye. 2.destan. 3.masal.,,6/27/2021 20:23,6/27/2021 20:23
1448,destâr,(F.),?????, sarýk.,,6/27/2021 20:23,6/27/2021 20:23
1449,destâvîz,(F.),???????, [dest + âvîhten > âvîz] küçük hediye.,,6/27/2021 20:23,6/27/2021 20:23
1450,destî,(F.),????, testi.,,6/27/2021 20:23,6/27/2021 20:23
1451,destûr,(F.),?????, 1.izin. 2.zerdüþt rahibi. 3.uzak dur. 4.izin ver.,,6/27/2021 20:23,6/27/2021 20:23
1452,desâis,(A.),?????," hileler	 oyunlar.",,6/27/2021 20:23,6/27/2021 20:23
1453,desîse,(A.),?????," hile	 oyun.",,6/27/2021 20:23,6/27/2021 20:23
1454,desîsekâr,(A.-F.),????? ???," hileci	 düzenbaz.",,6/27/2021 20:23,6/27/2021 20:23
1455,deverân,(A.),?????," dönme	 dolaþma	 dolaþým.",,6/27/2021 20:23,6/27/2021 20:23
1456,devlet,(A.),????, 1.devlet. 2.talih. 3.mevki.,,6/27/2021 20:23,6/27/2021 20:23
1457,devr,(A.),???, 1.devir. 2.dönme.,,6/27/2021 20:23,6/27/2021 20:23
1458,devre,(A.),????, dönem.,,6/27/2021 20:23,6/27/2021 20:23
1459,devrân,(A.),?????," felek	 zamane.",,6/27/2021 20:23,6/27/2021 20:23
1460,devâ,(A.),????, 1.ilaç. 2.çare.,,6/27/2021 20:23,6/27/2021 20:23
1461,devâbb,(A.),????, 1.yük hayvanlarý. 2.binek hayvanlarý.,,6/27/2021 20:23,6/27/2021 20:23
1462,devâir,(A.),?????, daireler.,,6/27/2021 20:23,6/27/2021 20:23
1463,devâm,(A.),????, 1.süreklilik. 2.kalýcýlýk. 3.devam.,,6/27/2021 20:23,6/27/2021 20:23
1464,devâsâz,(A.-F.),??????," [devâ + sâhten > sâz] 1.çare olan. 2.tedavi eden	 þifa veren.",,6/27/2021 20:23,6/27/2021 20:23
1465,devât,(A.),????, divit.,,6/27/2021 20:23,6/27/2021 20:23
1466,devâvîn,(A.),??????, divanlar.,,6/27/2021 20:23,6/27/2021 20:23
1467,dey,(F.),??, kýþ.,,6/27/2021 20:23,6/27/2021 20:23
1468,deyn,(A.),???, [ç. ???? ] borç.,,6/27/2021 20:23,6/27/2021 20:23
1469,deyr,(A.),???, manastýr.,,6/27/2021 20:23,6/27/2021 20:23
1470,deâvî,(A.),?????, davalar.,,6/27/2021 20:23,6/27/2021 20:23
1471,deþne,(F.),????, hançer.,,6/27/2021 20:23,6/27/2021 20:23
1472,deþt,(F.),???, 1.kýr. 2.ova. 3.çöl.,,6/27/2021 20:23,6/27/2021 20:23
1473,dicâce,(A.),?????, tavuk.,,6/27/2021 20:23,6/27/2021 20:23
1474,dih,(F.),??, köy.,,6/27/2021 20:23,6/27/2021 20:23
1475,dihhodâ,(F.),?????, 1.köy aðasý. 2.köy kahyasý.,,6/27/2021 20:23,6/27/2021 20:23
1476,dihkân,(F.),?????, 1.çiftçi. 2.köy aðasý.,,6/27/2021 20:23,6/27/2021 20:23
1477,dihât,(F.),????, köyler.,,6/27/2021 20:23,6/27/2021 20:23
1478,dikkat,(A.),???, 1.dakiklik. 2.incelik. 3.dikkat.,,6/27/2021 20:23,6/27/2021 20:23
1479,dil,(F.),??, gönül.,,6/27/2021 20:23,6/27/2021 20:23
1480,dilbend,(F.),?????," [dil + besten > bend] gönül baðlanan	 sevgili.",,6/27/2021 20:23,6/27/2021 20:23
1481,dilber,(F.),????," [dil + borden > ber] gönül alan	 güzel	 sevgili.",,6/27/2021 20:23,6/27/2021 20:23
1482,dilbeste,(F.),??????," [dil + besten > best + e] gönlü baðlanmýþ	 aþýk.",,6/27/2021 20:23,6/27/2021 20:23
1483,dilbâz,(F.),?????, [dil + bâhten > bâz] gönül þenlendiren.,,6/27/2021 20:23,6/27/2021 20:23
1484,dilcû,(F.),????," [dil 1 costen > cû] gönlün aradýðý	 güzel	 sevgili.",,6/27/2021 20:23,6/27/2021 20:23
1485,dildâde,(F.),?? ????," [dil + dâden > dâd + e] gönlünü vermiþ	 âþýk.",,6/27/2021 20:23,6/27/2021 20:23
1486,dildâr,(F.),?????," [dil + dâþten > dâr] gönül tutan	 sevgili.",,6/27/2021 20:23,6/27/2021 20:23
1487,dildûz,(F.),?????,[dil + dûhten > dûz] gönül delen.,,6/27/2021 20:23,6/27/2021 20:23
1488,dildüzd,(F.),?? ???,[dil + düzd] gönül hýrsýzý.,,6/27/2021 20:23,6/27/2021 20:23
1489,dilefgâr,(F.),?? ?????," gönlü yaralý	 âþýk.",,6/27/2021 20:23,6/27/2021 20:23
1490,dilefrûz,(F.),?? ?????," [dil + efrûhten > efrûz] gönül aydýnlatan	 sevgili.",,6/27/2021 20:23,6/27/2021 20:23
1491,dilfigâr,(F.),?? ????," gönlü yaralý	 âþýk.",,6/27/2021 20:23,6/27/2021 20:23
1492,dilfirîb,(F.),?? ????," [dil + firîften > firîb] gönül aldatan	 sevgili.",,6/27/2021 20:23,6/27/2021 20:23
1493,dilgîr,(F.),?????," [dil + giriften > gîr] kýrgýn	 alýnmýþ.",,6/27/2021 20:23,6/27/2021 20:23
1494,dilgüdâz,(F.),?? ????," [dil + gudâhten >gudâz] gönül eriten	 yürek törpüsü.",,6/27/2021 20:23,6/27/2021 20:23
1495,dilgüþâ,(F.),?????," [dil + guþâden > guþâ] iç açýcý	 ferahlýk verici.",,6/27/2021 20:23,6/27/2021 20:23
1496,dilhaste,(F.),??????, [dil + hasten > hast + e] gönlü yaralý.,,6/27/2021 20:23,6/27/2021 20:23
1497,dilhâh,(F.),??????, [dil + hâsten > hâh] gönlün istediði.,,6/27/2021 20:23,6/27/2021 20:23
1498,dilhûn,(F.),?????," [dil + hûn] yüreði kanlý	 içi kan aðlayan.",,6/27/2021 20:23,6/27/2021 20:23
1499,dilhýrâþ,(F.),?? ????, [dil +hýrâþîden > hýrâþ] yürek parçalayan.,,6/27/2021 20:23,6/27/2021 20:23
1500,dilkeþ,(F.),????," [dil + keþîden > keþ] cazibeli	 gönül çekici.",,6/27/2021 20:23,6/27/2021 20:23
1501,dilniþîn,(F.),??????," [dil + niþesten > niþîn] makbul	 hoþ.",,6/27/2021 20:23,6/27/2021 20:23
1502,dilnüvâz,(F.),?? ????, [dil + nuvâhten > nuvâz] gönül okþayan.,,6/27/2021 20:23,6/27/2021 20:23
1503,dilpesend,(F.),?? ????, [dil + pesendîden > pesend]gönlün beðendiði.,,6/27/2021 20:23,6/27/2021 20:23
1504,dilrübâ,(F.),?????," [dil + rubûden > rubâ] gönül hýrsýzý	 gönül çalan.",,6/27/2021 20:23,6/27/2021 20:23
1505,dilsûhte,(F.),?? ?????," [dil + sûhten > sûht + e] baðrý yanýk	 gönlü yaralý.",,6/27/2021 20:23,6/27/2021 20:23
1506,dilsûz,(F.),?????, [dil + sûhten > sûz]yürek yakan.,,6/27/2021 20:23,6/27/2021 20:23
1507,dilteng,(F.),?? ???," yüreði daralmýþ	 sýkýntýlý.",,6/27/2021 20:23,6/27/2021 20:23
1508,dilteþne,(F.),?? ????, can atan.,,6/27/2021 20:23,6/27/2021 20:23
1509,dilârâ,(F.),?? ???, [dil + ârâsten > ârâ] gönül süsleyen.,,6/27/2021 20:23,6/27/2021 20:23
1510,dilâver,(F.),?????," [dil + âverden > âver] yürekli	 yiðit.",,6/27/2021 20:23,6/27/2021 20:23
1511,dilâvîz,(F.),??????," [dil + âvîhten > âvîz] güzel	 gönül çekici.",,6/27/2021 20:23,6/27/2021 20:23
1512,dilâzâr,(F.),?? ????," [dil + âzurden > âzâr] gönül kýran	 inciten.",,6/27/2021 20:23,6/27/2021 20:23
1513,dilâzürde,(F.),?? ?????, [dil + âzurden > âzurd + e] kalbi kýrýk.,,6/27/2021 20:23,6/27/2021 20:23
1514,dilâþûb,(F.),?? ????," [dil + âþuften > âþûb] gönül karýþtýran	 sevgili.",,6/27/2021 20:23,6/27/2021 20:23
1515,dilîr,(F.),????," yürekli	 yiðit.",,6/27/2021 20:23,6/27/2021 20:23
1516,dilþiken,(F.),?? ???, [dil + þikesten > þiken] kalp kýran.,,6/27/2021 20:23,6/27/2021 20:23
1517,dilþikeste,(F.),?? ?????, [dil + þikesten > þikest + e] kalbi kýrýk.,,6/27/2021 20:23,6/27/2021 20:23
1518,dilþikâr,(F.),?? ????, gönül avcýsý.,,6/27/2021 20:23,6/27/2021 20:23
1519,dilþâd,(F.),?????, gönlü þen.,,6/27/2021 20:23,6/27/2021 20:23
1520,dimâð,(A.),????," 1.beyin. 2.bilinç	 þuur.",,6/27/2021 20:23,6/27/2021 20:23
1521,dindârî,(A.-F.),???????, dindarlýk.,,6/27/2021 20:23,6/27/2021 20:23
1522,diraht,(F.),????, aðaç.,,6/27/2021 20:23,6/27/2021 20:23
1523,dirahþân,(F.),??????," [dirahþîden > dirahþ + ân] parlak	 parlayan.",,6/27/2021 20:23,6/27/2021 20:23
1524,direfþ,(F.),????, 1.sancak. 2.bayrak.,,6/27/2021 20:23,6/27/2021 20:23
1525,direm,(F.),???," dirhem	 akçe	 gümüþ para.",,6/27/2021 20:23,6/27/2021 20:23
1526,dirâyetli,(A.-T.),???????,bilgili ve kavrama yeteneði olan.,,6/27/2021 20:23,6/27/2021 20:23
1527,dirîð,(F.),????, esirgeme.,,6/27/2021 20:23,6/27/2021 20:23
1528,dirîðâ,(F.),?????," [dirîð + â] ne yazýk ki	 vah vah	 eyvahlar olsun.",,6/27/2021 20:23,6/27/2021 20:23
1529,diyâr,(A.),????," ülke	 topraklar	 memleket.",,6/27/2021 20:23,6/27/2021 20:23
1530,dizdâr,(F.),?????, [diz + dâþten > dâr]kale muhafýzý.,,6/27/2021 20:23,6/27/2021 20:23
1531,dost,(F.),????, 1.sevgili. 2.yakýn arkadaþ. 3.Tanrý.,,6/27/2021 20:23,6/27/2021 20:23
1532,dostkâm,(F.),???????, dost canlýsý.,,6/27/2021 20:23,6/27/2021 20:23
1533,dostâne,(F.),???????, [dost + âne] dostça.,,6/27/2021 20:23,6/27/2021 20:23
1534,dostî,(F.),?????, dostluk.,,6/27/2021 20:23,6/27/2021 20:23
1535,duht,(F.),???, kýz.,,6/27/2021 20:23,6/27/2021 20:23
1536,duhter,(F.),????, kýz.,,6/27/2021 20:23,6/27/2021 20:23
1537,duhâ,(A.),???,kuþluk vakti.,,6/27/2021 20:23,6/27/2021 20:23
1538,duhân,(A.),????, 1.tütün. 2.duman.,,6/27/2021 20:23,6/27/2021 20:23
1539,duhûl,(A.),????," giriþ	 içeri girme.",,6/27/2021 20:23,6/27/2021 20:23
1540,duhûliye,(A.),??????, giriþ ücreti.,,6/27/2021 20:23,6/27/2021 20:23
1541,dumûr,(A.),????, körelme.,,6/27/2021 20:23,6/27/2021 20:23
1542,durûb-i emsâl,(A.-F.),???? ?????, atasözleri.,,6/27/2021 20:23,6/27/2021 20:23
1543,durûd,(F.),????, 1.övgü. 2.selam.,,6/27/2021 20:23,6/27/2021 20:23
1544,duâgû,(A.-F.),?????," [duâ + goften >gû] duacý	 dua eden.",,6/27/2021 20:23,6/27/2021 20:23
1545,dâd,(F.),???," 1.adalet. 2.iyilik	 ihsan.",,6/27/2021 20:23,6/27/2021 20:23
1546,dâd,(F.),???, 1.verme. 2.verdi. 3.vergi.,,6/27/2021 20:23,6/27/2021 20:23
1547,dâdgâh,(F.),??????, mahkeme.,,6/27/2021 20:23,6/27/2021 20:23
1548,dâdhâh,(F.),???????, [dâd + hâsten > hâh] davacý.,,6/27/2021 20:23,6/27/2021 20:23
1549,dâdres,(F.),?????, [dâd + resîden > res] imdada koþan.,,6/27/2021 20:23,6/27/2021 20:23
1550,dâdû,(F.),????, dadý.,,6/27/2021 20:23,6/27/2021 20:23
1551,dâdüferyâd,(F.),?????????, feryat figan.,,6/27/2021 20:23,6/27/2021 20:23
1552,dâdüsited,(F.),??? ? ???, [dâden > dâd + ü + siteden > sited] alýþveriþ.,,6/27/2021 20:23,6/27/2021 20:23
1553,dâfi?,(A.),????," uzaklaþtýran	 defeden.",,6/27/2021 20:23,6/27/2021 20:23
1554,dâhil,(A.),????," iç	 içeri.",,6/27/2021 20:23,6/27/2021 20:23
1555,dâhile,(A.),?????," iç	 iç yüz.",,6/27/2021 20:23,6/27/2021 20:23
1556,dâhilen,(A.),?????, içten.,,6/27/2021 20:23,6/27/2021 20:23
1557,dâhiliye,(A.),??????," iç ile ilgili	 iç yüze ait.",,6/27/2021 20:23,6/27/2021 20:23
1558,dâhilî,(A.),?????," iç ile ilgili	 iç yüze ait.",,6/27/2021 20:23,6/27/2021 20:23
1559,dâhî,(A.),????, deha sahibi.,,6/27/2021 20:23,6/27/2021 20:23
1560,dâim,(A.),????," sürekli	 devamlý.",,6/27/2021 20:23,6/27/2021 20:23
1561,dâimî,(A.),?????," sürekli	 devamlý.",,6/27/2021 20:23,6/27/2021 20:23
1562,dâir,(A.),????," 1.iliþkin	 hakkýnda. 3.dönen.",,6/27/2021 20:23,6/27/2021 20:23
1563,dâire,(A.),?????," 1.daire. 2.büro	 ofis. 3.devlet dairesi. 4.tef	 zilli tef.",,6/27/2021 20:23,6/27/2021 20:23
1564,dâirenmâdâr,(A.),????? ?????, çepeçevre.,,6/27/2021 20:23,6/27/2021 20:23
1565,dâirevî,(A.),??????, dairemsi.,,6/27/2021 20:23,6/27/2021 20:23
1566,dâirezen,(A.-F.),????? ??, [daire + zeden > zen] daire çalan.,,6/27/2021 20:23,6/27/2021 20:23
1567,dâiye,(A.),?????," 1.arzu	 istek. 2.iddia.",,6/27/2021 20:23,6/27/2021 20:23
1568,dâll,(A.),???, delalet eden.,,6/27/2021 20:23,6/27/2021 20:23
1569,dâlle,(A.),????," sapýk	 yoldan çýkmýþ.",,6/27/2021 20:23,6/27/2021 20:23
1570,dâm,(F.),???," 1.tuzak	 kapan. 2.besi hayvaný.",,6/27/2021 20:23,6/27/2021 20:23
1571,dâmen,(F.),????, etek.,,6/27/2021 20:23,6/27/2021 20:23
1572,dâmenbûs,(F.),???? ???, [dâmen + bûsîden > bûs] etek öpen.,,6/27/2021 20:23,6/27/2021 20:23
1573,dâmene,(F.),?????," yamaç	 dað eteði.",,6/27/2021 20:23,6/27/2021 20:23
1574,dâmengîr,(F.),???? ???," [dâmen + giriften > gîr] 1.davacý	 þikayetçi. 2.eteðe sarýlan.",,6/27/2021 20:23,6/27/2021 20:23
1575,dâmenâlûde,(F.),???? ?????, [dâmen + âlûden > âlûd + e] iffetsiz.,,6/27/2021 20:23,6/27/2021 20:23
1576,dâmgâh,(F.),??????, tuzak kurulmuþ yer.,,6/27/2021 20:23,6/27/2021 20:23
1577,dâmâd,(F.),?????," damat	 güveyi.",,6/27/2021 20:23,6/27/2021 20:23
1578,dâmân,(F.),?????, etek.,,6/27/2021 20:23,6/27/2021 20:23
1579,dân,(F.),???, [dânisten > dân] bilen.,,6/27/2021 20:23,6/27/2021 20:23
1580,dân,(F.),???, kap.,,6/27/2021 20:23,6/27/2021 20:23
1581,dâne,(F.),????, 1.tohum. 2.yem. 3.tane.,,6/27/2021 20:23,6/27/2021 20:23
1582,dânende,(F.),??????, [dânisten > dân + ende] bilen.,,6/27/2021 20:23,6/27/2021 20:23
1583,dâng,(F.),????, altýda birlik dirhem.,,6/27/2021 20:23,6/27/2021 20:23
1584,dâniþ,(F.),????, [dânisten > dân + iþ] 1.bilgi. 2.bilim.,,6/27/2021 20:23,6/27/2021 20:23
1585,dâniþgâh,(F.),???????, üniversite.,,6/27/2021 20:23,6/27/2021 20:23
1586,dâniþmend,(F.),???????," 1.bilgin	 alim. 2.stajiyer kadý.",,6/27/2021 20:23,6/27/2021 20:23
1587,dâniþver,(A.),??????, bilgin.,,6/27/2021 20:23,6/27/2021 20:23
1588,dâniþâmûz,(F.),???? ????, [dâniþ + âmûhten > âmûz] öðrenci.,,6/27/2021 20:23,6/27/2021 20:23
1589,dânâ,(F.),????," [dânisten > dân + â] bilgili	 iyi bilen.",,6/27/2021 20:23,6/27/2021 20:23
1590,dâr,(A.),???, 1.yurt. 2.ev.,,6/27/2021 20:23,6/27/2021 20:23
1591,dâr,(F.),???," [dâþten > dâr] sahip olan	 bulunduran	 tutan.",,6/27/2021 20:23,6/27/2021 20:23
1592,dâr,(F.),???, dar aðacý.,,6/27/2021 20:23,6/27/2021 20:23
1593,dârende,(F.),??????, [dâþten > dâr + ende] sahip.,,6/27/2021 20:23,6/27/2021 20:23
1594,dârâ,(F.),????, [dâþten > dâr + â] 1.sahip. 2.büyük hükümdar.,,6/27/2021 20:23,6/27/2021 20:23
1595,dârçîn,(F.),??????, tarçýn.,,6/27/2021 20:23,6/27/2021 20:23
1596,dârû,(F.),????, ilaç.,,6/27/2021 20:23,6/27/2021 20:23
1597,dârûhâne,(F.),????????, eczane.,,6/27/2021 20:23,6/27/2021 20:23
1598,dârülaceze,(A.),?????????, düþkünler evi.,,6/27/2021 20:23,6/27/2021 20:23
1599,dârülbedâyi,(A.),??????????, konservatuvar.,,6/27/2021 20:23,6/27/2021 20:23
1600,dârülelhân,(A.),??????????, konservatuvar.,,6/27/2021 20:23,6/27/2021 20:23
1601,dârüleytâm,(A.),??????????, yetimhane.,,6/27/2021 20:23,6/27/2021 20:23
1602,dârülfünûn,(A.),?????????, üniversite.,,6/27/2021 20:23,6/27/2021 20:23
1603,dârülhilâfe,(A.),??????????, 1.Ýstanbul. 2.halifelik merkezi.,,6/27/2021 20:23,6/27/2021 20:23
1604,dârülkütüb,(A.),????????, kütüphane.,,6/27/2021 20:23,6/27/2021 20:23
1605,dârülmuallimât,(A.),???????????, kýz öðretmen okulu.,,6/27/2021 20:23,6/27/2021 20:23
1606,dârülmuallimîn,(A.),???????????, erkek öðretmen okulu.,,6/27/2021 20:23,6/27/2021 20:23
1607,dârülmülk,(A.),????????, baþkent.,,6/27/2021 20:23,6/27/2021 20:23
1608,dârülvilâde,(A.),??????????, doðumevi.,,6/27/2021 20:23,6/27/2021 20:23
1609,dârüssaltana,(A.),??????????, Ýstanbul.,,6/27/2021 20:23,6/27/2021 20:23
1610,dârüsselâm,(A.),?????????, 1.Baðdat. 2.cennet.,,6/27/2021 20:23,6/27/2021 20:23
1611,dâs,(F.),???, orak.,,6/27/2021 20:23,6/27/2021 20:23
1612,dâstân,(F.),??????, 1.destan. 2.hikâye. 3.masal.,,6/27/2021 20:23,6/27/2021 20:23
1613,dâstânî,(F.),???????," destânî	 kahramanlýkla ilgili	 epik.",,6/27/2021 20:23,6/27/2021 20:23
1614,dâver,(F.),????, 1.yargýç. 2.hükümdar. 3.Tanrý.,,6/27/2021 20:23,6/27/2021 20:23
1615,dâye,(F.),????, dadý.,,6/27/2021 20:23,6/27/2021 20:23
1616,dâyin,(A.),????, alacaklý.,,6/27/2021 20:23,6/27/2021 20:23
1617,dâð,(F.),???, 1.yara. 2.kýzgýn demirle vurulmuþ iþaret.,,6/27/2021 20:23,6/27/2021 20:23
1618,dâ?î,(A.),????," 1.dua eden	 duacý. 2.davet eden.",,6/27/2021 20:23,6/27/2021 20:23
1619,dâ?ussýla,(A.),??? ?????," yurdunu özleme	 köyünü özleme.",,6/27/2021 20:23,6/27/2021 20:23
1620,dî,(F.),??, dün.,,6/27/2021 20:23,6/27/2021 20:23
1621,dîbâ,(F.),????, ipekli kumaþ.,,6/27/2021 20:23,6/27/2021 20:23
1622,dîbâce,(F.),??????," giriþ	 önsöz.",,6/27/2021 20:23,6/27/2021 20:23
1623,dîde,(F.),????, [dîden > dîd + e] görmüþ.,,6/27/2021 20:23,6/27/2021 20:23
1624,dîde,(F.),????, göz.,,6/27/2021 20:23,6/27/2021 20:23
1625,dîdegân,(F.),??????, [dîde + g + ân] gözler.,,6/27/2021 20:23,6/27/2021 20:23
1626,dîdâr,(F.),?????," 1.görüþme	 buluþma. 2.yüz.",,6/27/2021 20:23,6/27/2021 20:23
1627,dîg,(F.),???, tencere.,,6/27/2021 20:23,6/27/2021 20:23
1628,dîger,(F.),????," diðer	 baþka.",,6/27/2021 20:23,6/27/2021 20:23
1629,dîgergûn,(F.),???????, baþka.,,6/27/2021 20:23,6/27/2021 20:23
1630,dîgerkâm,(F.),???????, baþkalarýný düþünen.,,6/27/2021 20:23,6/27/2021 20:23
1631,dîn,(F. > A.),???,din.,,6/27/2021 20:23,6/27/2021 20:23
1632,dînen,(A.),????," dince	 din bakýmýndan.",,6/27/2021 20:23,6/27/2021 20:23
1633,dînî,(A.),????, dinsel.,,6/27/2021 20:23,6/27/2021 20:23
1634,dîr,(F.),???, geç.,,6/27/2021 20:23,6/27/2021 20:23
1635,dîrîn,(F.),?????, eski.,,6/27/2021 20:23,6/27/2021 20:23
1636,dîrîne,(F.),??????, eski.,,6/27/2021 20:23,6/27/2021 20:23
1637,dîv,(F.),???,"1. dev	 canavar	 gulyabani. 2. þeytan.",,6/27/2021 20:23,6/27/2021 20:23
1638,dîvân,(A.),?????, 1.meclis. 2.padiþah meclisi. 3.þairin þiirlerinin bir araya getirildiði eser.,,6/27/2021 20:23,6/27/2021 20:23
1639,dîvâne,(F.),??????," deli	 çýlgýn.",,6/27/2021 20:23,6/27/2021 20:23
1640,dîvânegî,(F.),???????," delilik	 çýlgýnlýk.",,6/27/2021 20:23,6/27/2021 20:23
1641,dîvâr,(F.),?????, duvar.,,6/27/2021 20:23,6/27/2021 20:23
1642,dîþeb,(F.),????, dün gece.,,6/27/2021 20:23,6/27/2021 20:23
1643,dûd,(A.),???," böcek	 kurtçuk	 kurt.",,6/27/2021 20:23,6/27/2021 20:23
1644,dûd,(F.),???, duman.,,6/27/2021 20:23,6/27/2021 20:23
1645,dûde,(F.),????, is.,,6/27/2021 20:23,6/27/2021 20:23
1646,dûdmân,(F.),??????, soy sop.,,6/27/2021 20:23,6/27/2021 20:23
1647,dûn,(A.),???," 1.aþaðý	 alt. 2.aþaðýlýk	 adi.",,6/27/2021 20:23,6/27/2021 20:23
1648,dûnperver,(A.-F.),??? ????, [dûn + perverden > perver] aþaðýlýk kimseleri koruyan.,,6/27/2021 20:23,6/27/2021 20:23
1649,dûr,(F.),???, uzak.,,6/27/2021 20:23,6/27/2021 20:23
1650,dûrbîn,(F.),??????, [dûr + dîden > bîn] 1.ileri görüþlü. 2.dürbün.,,6/27/2021 20:23,6/27/2021 20:23
1651,dûrdest,(F.),??????," ýrak	 çok uzak.",,6/27/2021 20:23,6/27/2021 20:23
1652,dûrendîþ,(F.),????????," [dûr + endîþîden> endîþ] ileri görüþlü	 ileriyi düþünen.",,6/27/2021 20:23,6/27/2021 20:23
1653,dûrî,(F.),????, uzaklýk.,,6/27/2021 20:23,6/27/2021 20:23
1654,dûst,(F.),????, 1.dost. 2.sevgili. 3.Tanrý.,,6/27/2021 20:23,6/27/2021 20:23
1655,dûzah,(F.),????, cehennem.,,6/27/2021 20:23,6/27/2021 20:23
1656,dûçâr,(F.),?????," uðramýþ	 yakalanmýþ	 maruz kalmýþ.",,6/27/2021 20:23,6/27/2021 20:23
1657,dûð,(F.),???, ayran.,,6/27/2021 20:23,6/27/2021 20:23
1658,dûþ,(F.),???, dün gece.,,6/27/2021 20:23,6/27/2021 20:23
1659,dûþ,(F.),???, omuz.,,6/27/2021 20:23,6/27/2021 20:23
1660,dûþîze,(F.),??????," kýz	 matmazel.",,6/27/2021 20:23,6/27/2021 20:23
1661,dü,(F.),??, iki.,,6/27/2021 20:23,6/27/2021 20:23
1662,dübb,(A.),??, ayý.,,6/27/2021 20:23,6/27/2021 20:23
1663,dübâre,(F.),??????," tekrar	 yeniden.",,6/27/2021 20:23,6/27/2021 20:23
1664,dübür,(A.),???, 1.makat. 2.arka.,,6/27/2021 20:23,6/27/2021 20:23
1665,dücâce,(A.),?????, tavuk.,,6/27/2021 20:23,6/27/2021 20:23
1666,düdil,(F.),????," ikircikli	 tereddütlü.",,6/27/2021 20:23,6/27/2021 20:23
1667,dühûr,(A.),????, 1.devirler. 2.dünyalar.,,6/27/2021 20:23,6/27/2021 20:23
1668,dühül,(F.),???, davul.,,6/27/2021 20:23,6/27/2021 20:23
1669,düm,(F.),??, kuyruk.,,6/27/2021 20:23,6/27/2021 20:23
1670,dümbâl,(F.),?????," 1.kuyruk. 2.peþ	 art.",,6/27/2021 20:23,6/27/2021 20:23
1671,dümel,(A.),???, kan çýbaný.,,6/27/2021 20:23,6/27/2021 20:23
1672,dümûy,(F.),?????, kýrçýl.,,6/27/2021 20:23,6/27/2021 20:23
