KulliKamusKod,Telafuz,Lisan,OsmYazilis,Anlam,Ornek,CreatedAt,UpdatedAt
62,adîl,(A.),????," eþit	 denk.",,6/27/2021 20:23,6/27/2021 20:23
63,adîm,(A.),????, yok olan.,,6/27/2021 20:23,6/27/2021 20:23
64,adîmülimkân,(A.),???? ???????, imkânsýz.,,6/27/2021 20:23,6/27/2021 20:23
65,adû,(A.),???, [ç. ???? ] düþman.,,6/27/2021 20:23,6/27/2021 20:23
66,afiyetbahþ,(A.),???? ???, [âfiyet + bahþîden > bahþ] afiyet verici.,,6/27/2021 20:23,6/27/2021 20:23
67,afrika,(A.),??????, Afrika kýtasý.,,6/27/2021 20:23,6/27/2021 20:23
68,afsun,(F.),?????," büyü	 efsun.",,6/27/2021 20:23,6/27/2021 20:23
69,afv,(A.),???," baðýþlama	 af.",,6/27/2021 20:23,6/27/2021 20:23
70,afîf,(A.),????, iffetli.,,6/27/2021 20:23,6/27/2021 20:23
71,ah,(A.),??, 1.kardeþ. 2.dost.,,6/27/2021 20:23,6/27/2021 20:23
72,ahad,(A.),???, bir.,,6/27/2021 20:23,6/27/2021 20:23
73,ahali,(A.),?????," halk	 ahali	 insan topluluðu.",,6/27/2021 20:23,6/27/2021 20:23
74,ahavât,(A.),?????, kýzkardeþler.,,6/27/2021 20:23,6/27/2021 20:23
75,ahbap,(A.),?????, bk. ahbâb.,,6/27/2021 20:23,6/27/2021 20:23
76,ahbâb,(A.),?????," 1.dostlar	 sevdikler. 2.dost.",,6/27/2021 20:23,6/27/2021 20:23
77,ahbâr,(A.),?????, haberler.,,6/27/2021 20:23,6/27/2021 20:23
78,ahcâr,(A.),?????, taþlar.,,6/27/2021 20:23,6/27/2021 20:23
79,ahd,(A.),???," 1.yemin	 and. 2.çað	 devir. 3.söz verme.",,6/27/2021 20:23,6/27/2021 20:23
80,ahd-i atîk,(A.),??? ????," Tevrat	 Zebur ve Mezâmir.",,6/27/2021 20:23,6/27/2021 20:23
81,ahd-i cedîd,(A.),??? ????, Ýncil ve ekleri.,,6/27/2021 20:23,6/27/2021 20:23
82,ahdar,(A.),????, yemyeþil.,,6/27/2021 20:23,6/27/2021 20:23
83,ahdeb,(A.),????, kambur.,,6/27/2021 20:23,6/27/2021 20:23
84,ahdnâme,(A.-F.),???????," ahitname	 antlaþma metni.",,6/27/2021 20:23,6/27/2021 20:23
85,ahdâs,(A.),?????, 1.yeni olaylar. 2.dertler. 3.gençler.,,6/27/2021 20:23,6/27/2021 20:23
86,ahdüpeymân,(A.-F.),??? ? ?????, and.,,6/27/2021 20:23,6/27/2021 20:23
87,ahfâ,(A.),????, en gizli.,,6/27/2021 20:23,6/27/2021 20:23
88,ahfâd,(A.),?????, torunlar.,,6/27/2021 20:23,6/27/2021 20:23
89,ahger,(F.),????, kor ateþ.,,6/27/2021 20:23,6/27/2021 20:23
90,ahibbâ,(A.),????," dostlar	 sevilenler; sevgililer. ",,6/27/2021 20:23,6/27/2021 20:23
91,ahid,(A.),???," söz	 yemin.",,6/27/2021 20:23,6/27/2021 20:23
92,ahidþiken,(A.-F.),??????," [ahid + þikesten > þiken] sözünden dönen	 antlaþmayý bozan.",,6/27/2021 20:23,6/27/2021 20:23
93,ahir,(A.),???," 1.son	 en son. 2.sonunda.",,6/27/2021 20:23,6/27/2021 20:23
94,ahkâm,(A.),?????, hükümler.,,6/27/2021 20:23,6/27/2021 20:23
